dev-category,VARIABLE NAME,developer-friendly name,API data type,NAME OF DATA ELEMENT,VALUE,LABEL,SOURCE,NOTES
academics,MTHCMP1,program_reporter.program_1.cip_6_digit.avg_month_completion,integer,Average number of months needed to complete largest program,(blank),(blank),IPEDS,(blank)
academics,MTHCMP2,program_reporter.program_2.cip_6_digit.avg_month_completion,integer,Average number of months needed to complete program #2,(blank),(blank),IPEDS,(blank)
academics,MTHCMP3,program_reporter.program_3.cip_6_digit.avg_month_completion,integer,Average number of months needed to complete program #3,(blank),(blank),IPEDS,(blank)
academics,MTHCMP4,program_reporter.program_4.cip_6_digit.avg_month_completion,integer,Average number of months needed to complete program #4,(blank),(blank),IPEDS,(blank)
academics,MTHCMP5,program_reporter.program_5.cip_6_digit.avg_month_completion,integer,Average number of months needed to complete program #5,(blank),(blank),IPEDS,(blank)
academics,MTHCMP6,program_reporter.program_6.cip_6_digit.avg_month_completion,integer,Average number of months needed to complete program #6,(blank),(blank),IPEDS,(blank)
academics,CIP01BACHL,program.bachelors.agriculture,integer,"Bachelor's degree in Agriculture, Agriculture Operations, And Related Sciences.",(blank),(blank),IPEDS,ibid
academics,CIP04BACHL,program.bachelors.architecture,integer,Bachelor's degree in Architecture And Related Services.,(blank),(blank),IPEDS,ibid
academics,CIP05BACHL,program.bachelors.ethnic_cultural_gender,integer,"Bachelor's degree in Area, Ethnic, Cultural, Gender, And Group Studies.",(blank),(blank),IPEDS,ibid
academics,CIP26BACHL,program.bachelors.biological,integer,Bachelor's degree in Biological And Biomedical Sciences.,(blank),(blank),IPEDS,ibid
academics,CIP52BACHL,program.bachelors.business_marketing,integer,"Bachelor's degree in Business, Management, Marketing, And Related Support Services.",(blank),(blank),IPEDS,ibid
academics,CIP09BACHL,program.bachelors.communication,integer,"Bachelor's degree in Communication, Journalism, And Related Programs.",(blank),(blank),IPEDS,ibid
academics,CIP10BACHL,program.bachelors.communications_technology,integer,Bachelor's degree in Communications Technologies/Technicians And Support Services.,(blank),(blank),IPEDS,ibid
academics,CIP11BACHL,program.bachelors.computer,integer,Bachelor's degree in Computer And Information Sciences And Support Services.,(blank),(blank),IPEDS,ibid
academics,CIP46BACHL,program.bachelors.construction,integer,Bachelor's degree in Construction Trades.,(blank),(blank),IPEDS,ibid
academics,CIP13BACHL,program.bachelors.education,integer,Bachelor's degree in Education.,(blank),(blank),IPEDS,ibid
academics,CIP15BACHL,program.bachelors.engineering_technology,integer,Bachelor's degree in Engineering Technologies And Engineering-Related Fields.,(blank),(blank),IPEDS,ibid
academics,CIP14BACHL,program.bachelors.engineering,integer,Bachelor's degree in Engineering.,(blank),(blank),IPEDS,ibid
academics,CIP23BACHL,program.bachelors.english,integer,Bachelor's degree in English Language And Literature/Letters.,(blank),(blank),IPEDS,ibid
academics,CIP19BACHL,program.bachelors.family_consumer_science,integer,Bachelor's degree in Family And Consumer Sciences/Human Sciences.,(blank),(blank),IPEDS,ibid
academics,CIP16BACHL,program.bachelors.language,integer,"Bachelor's degree in Foreign Languages, Literatures, And Linguistics.",(blank),(blank),IPEDS,ibid
academics,CIP51BACHL,program.bachelors.health,integer,Bachelor's degree in Health Professions And Related Programs.,(blank),(blank),IPEDS,ibid
academics,CIP54BACHL,program.bachelors.history,integer,Bachelor's degree in History.,(blank),(blank),IPEDS,ibid
academics,CIP43BACHL,program.bachelors.security_law_enforcement,integer,"Bachelor's degree in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",(blank),(blank),IPEDS,ibid
academics,CIP22BACHL,program.bachelors.legal,integer,Bachelor's degree in Legal Professions And Studies.,(blank),(blank),IPEDS,ibid
academics,CIP24BACHL,program.bachelors.humanities,integer,"Bachelor's degree in Liberal Arts And Sciences, General Studies And Humanities.",(blank),(blank),IPEDS,ibid
academics,CIP25BACHL,program.bachelors.library,integer,Bachelor's degree in Library Science.,(blank),(blank),IPEDS,ibid
academics,CIP27BACHL,program.bachelors.mathematics,integer,Bachelor's degree in Mathematics And Statistics.,(blank),(blank),IPEDS,ibid
academics,CIP47BACHL,program.bachelors.mechanic_repair_technology,integer,Bachelor's degree in Mechanic And Repair Technologies/Technicians.,(blank),(blank),IPEDS,ibid
academics,CIP29BACHL,program.bachelors.military,integer,Bachelor's degree in Military Technologies And Applied Sciences.,(blank),(blank),IPEDS,ibid
