dev-category,NAME OF DATA ELEMENT,developer-friendly name,API data type,VARIABLE NAME,VALUE,LABEL
academics,"Percentage of degrees awarded in Agriculture, Agriculture Operations, And Related Sciences.",program_percentage.agriculture,float,PCIP01,(blank),"Agriculture, Agriculture Operations, and Related Sciences"
academics,Percentage of degrees awarded in Architecture And Related Services.,program_percentage.architecture,float,PCIP04,(blank),Architecture and Related Services
academics,"Percentage of degrees awarded in Area, Ethnic, Cultural, Gender, And Group Studies.",program_percentage.ethnic_cultural_gender,float,PCIP05,(blank),"Area, Ethnic, Cultural, Gender, and Group Studies"
academics,Percentage of degrees awarded in Biological And Biomedical Sciences.,program_percentage.biological,float,PCIP26,(blank),Biological and Biomedical Sciences
academics,"Percentage of degrees awarded in Business, Management, Marketing, And Related Support Services.",program_percentage.business_marketing,float,PCIP52,(blank),"Business, Management, Marketing, and Related Support Services"
academics,"Percentage of degrees awarded in Communication, Journalism, And Related Programs.",program_percentage.communication,float,PCIP09,(blank),"Communication, Journalism, and Related Programs"
academics,Percentage of degrees awarded in Communications Technologies/Technicians And Support Services.,program_percentage.communications_technology,float,PCIP10,(blank),Communications Technologies/Technicians and Support Services
academics,Percentage of degrees awarded in Computer And Information Sciences And Support Services.,program_percentage.computer,float,PCIP11,(blank),Computer and Information Sciences and Support Services
academics,Percentage of degrees awarded in Construction Trades.,program_percentage.construction,float,PCIP46,(blank),Construction Trades
academics,Percentage of degrees awarded in Education.,program_percentage.education,float,PCIP13,(blank),Education
academics,Percentage of degrees awarded in Engineering Technologies And Engineering-Related Fields.,program_percentage.engineering_technology,float,PCIP15,(blank),Engineering Technologies and Engineering-Related Fields
academics,Percentage of degrees awarded in Engineering.,program_percentage.engineering,float,PCIP14,(blank),Engineering
academics,Percentage of degrees awarded in English Language And Literature/Letters.,program_percentage.english,float,PCIP23,(blank),English Language and Literature/Letters
academics,Percentage of degrees awarded in Family And Consumer Sciences/Human Sciences.,program_percentage.family_consumer_science,float,PCIP19,(blank),Family and Consumer Sciences/Human Sciences
academics,"Percentage of degrees awarded in Foreign Languages, Literatures, And Linguistics.",program_percentage.language,float,PCIP16,(blank),"Foreign Languages, Literatures, and Linguistics"
academics,Percentage of degrees awarded in Health Professions And Related Programs.,program_percentage.health,float,PCIP51,(blank),Health Professions and Related Programs
academics,Percentage of degrees awarded in History.,program_percentage.history,float,PCIP54,(blank),History
academics,"Percentage of degrees awarded in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",program_percentage.security_law_enforcement,float,PCIP43,(blank),"Homeland Security, Law Enforcement, Firefighting and Related Protective Services"
academics,Percentage of degrees awarded in Legal Professions And Studies.,program_percentage.legal,float,PCIP22,(blank),Legal Professions and Studies
academics,"Percentage of degrees awarded in Liberal Arts And Sciences, General Studies And Humanities.",program_percentage.humanities,float,PCIP24,(blank),"Liberal Arts and Sciences, General Studies and Humanities"
academics,Percentage of degrees awarded in Library Science.,program_percentage.library,float,PCIP25,(blank),Library Science
academics,Percentage of degrees awarded in Mathematics And Statistics.,program_percentage.mathematics,float,PCIP27,(blank),Mathematics and Statistics
academics,Percentage of degrees awarded in Mechanic And Repair Technologies/Technicians.,program_percentage.mechanic_repair_technology,float,PCIP47,(blank),Mechanic and Repair Technologies/Technicians
academics,Percentage of degrees awarded in Military Technologies And Applied Sciences.,program_percentage.military,float,PCIP29,(blank),Military Technologies and Applied Sciences
academics,Percentage of degrees awarded in Multi/Interdisciplinary Studies.,program_percentage.multidiscipline,float,PCIP30,(blank),Multi/Interdisciplinary Studies
academics,Percentage of degrees awarded in Natural Resources And Conservation.,program_percentage.resources,float,PCIP03,(blank),Natural Resources and Conservation
academics,"Percentage of degrees awarded in Parks, Recreation, Leisure, And Fitness Studies.",program_percentage.parks_recreation_fitness,float,PCIP31,(blank),"Parks, Recreation, Leisure, and Fitness Studies"
academics,Percentage of degrees awarded in Personal And Culinary Services.,program_percentage.personal_culinary,float,PCIP12,(blank),Personal and Culinary Services
academics,Percentage of degrees awarded in Philosophy And Religious Studies.,program_percentage.philosophy_religious,float,PCIP38,(blank),Philosophy and Religious Studies
