,CIP01BACHL,CIP04BACHL,CIP05BACHL,CIP26BACHL,CIP52BACHL,CIP09BACHL,CIP10BACHL,CIP11BACHL,CIP46BACHL,CIP13BACHL,CIP15BACHL,CIP14BACHL,CIP23BACHL,CIP19BACHL,CIP16BACHL,CIP51BACHL,CIP54BACHL,CIP43BACHL,CIP22BACHL,CIP24BACHL,CIP25BACHL,CIP27BACHL,CIP47BACHL,CIP29BACHL,CIP30BACHL,CIP03BACHL,CIP31BACHL,CIP12BACHL,CIP38BACHL,CIP40BACHL,CIP48BACHL,CIP42BACHL,CIP44BACHL,CIP41BACHL,CIP45BACHL,CIP39BACHL,CIP49BACHL,CIP50BACHL,PCIP01,PCIP04,PCIP05,PCIP26,PCIP52,PCIP09,PCIP10,PCIP11,PCIP46,PCIP13,PCIP15,PCIP14,PCIP23,PCIP19,PCIP16,PCIP51,PCIP54,PCIP43,PCIP22,PCIP24,PCIP25,PCIP27,PCIP47,PCIP29,PCIP30,PCIP03,PCIP31,PCIP12,PCIP38,PCIP40,PCIP48,PCIP42,PCIP44,PCIP41,PCIP45,PCIP39,PCIP49,PCIP50,ADM_RATE,ADM_RATE_ALL,DEBT_MDN,C150_4,C150_4_POOLED,HI_INC_YR6_N,HI_INC_YR8_N,LO_INC_YR6_N,LO_INC_YR8_N,MD_INC_YR6_N,MD_INC_YR8_N,OVERALL_YR6_N,OVERALL_YR8_N,COMP_ORIG_YR4_RT,COMP_ORIG_YR6_RT,COMP_ORIG_YR8_RT,FEMALE_COMP_ORIG_YR6_RT,FEMALE_COMP_ORIG_YR8_RT,HI_INC_COMP_ORIG_YR4_RT,HI_INC_COMP_ORIG_YR6_RT,HI_INC_COMP_ORIG_YR8_RT,LO_INC_COMP_ORIG_YR4_RT,LO_INC_COMP_ORIG_YR6_RT,LO_INC_COMP_ORIG_YR8_RT,MALE_COMP_ORIG_YR6_RT,MALE_COMP_ORIG_YR8_RT,MD_INC_COMP_ORIG_YR4_RT,MD_INC_COMP_ORIG_YR6_RT,MD_INC_COMP_ORIG_YR8_RT,WDRAW_2YR_TRANS_YR4_RT,COMP_4YR_TRANS_YR4_RT,WDRAW_ORIG_YR2_RT,WDRAW_ORIG_YR4_RT,WDRAW_ORIG_YR8_RT,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,COUNT_NWNE_P10,COUNT_WNE_P10,AVGFACSAL,MENONLY,WOMENONLY,INEXPFTE,LOCALE,TUITFTE,PFTFAC,REGION,AGE_ENTRY,FAMINC,MD_FAMINC,MEDIAN_HH_INC,AGEGE24,DEPENDENT,FEMALE,MARRIED,PPTUG_EF,UGDS_ASIAN,UGDS_BLACK,UGDS_HISP,UGDS_MEN,UGDS_NRA,UGDS_WHITE,UGDS_WOMEN
0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0394,0.0039,0.0,0.0927,0.1578,0.0,0.0394,0.0592,0.0,0.071,0.0197,0.1183,0.0158,0.0394,0.0,0.0,0.0,0.0572,0.0,0.0473,0.0,0.0059,0.0,0.0,0.0,0.0237,0.002,0.0,0.0,0.0355,0.0,0.0631,0.0493,0.0,0.0355,0.0,0.0,0.0237,0.8986,0.8986,15000.0,0.2685,0.2533,145.0,158.0,781.0,707.0,394.0,364.0,1320.0,1229.0,0.190821256039,0.297727272727,0.35150528885300003,0.34210526315800005,0.40664556962,0.33,0.434482758621,0.462025316456,0.164034021871,0.267605633803,0.318246110325,0.25,0.293132328308,0.21630094043900003,0.307106598985,0.368131868132,0.12962962963,0.028985507246,0.300658376006,0.300322061192,0.21643612693199998,22489.0,9744.0,18354.0,212.0,1784.0,7101.0,0.0,0.0,5384.0,12.0,7413.0,0.7411,5.0,20.283741368,32362.826114,23553.0,49720.22,0.07999999821186,0.9011299435,0.5640301318,0.0091023227,0.0587,0.0018,0.912,0.0088,0.4076,0.006999999999999999,0.0186,0.5924
1,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0016,0.0876,0.1908,0.0375,0.0,0.0139,0.0,0.0717,0.0,0.0813,0.0207,0.0,0.004,0.2255,0.01,0.0267,0.0,0.0351,0.0,0.0112,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.0235,0.0,0.0602,0.0263,0.0008,0.0315,0.0,0.0,0.0339,0.9211,0.9211,15000.0,0.5829,0.5567,609.0,497.0,1198.0,887.0,783.0,632.0,2590.0,2016.0,0.453967065868,0.50694980695,0.5223214285710001,0.516267648864,0.534716679968,0.539877300613,0.536945812808,0.623742454728,0.403265306122,0.476627712855,0.455467869222,0.491155046826,0.501965923984,0.46163522012599995,0.530012771392,0.536392405063,0.044535928143999995,0.064371257485,0.189010989011,0.205089820359,0.15327380952400002,24347.0,8568.0,19704.0,464.0,3643.0,10717.0,0.0,0.0,16454.0,12.0,13177.0,0.7766,5.0,23.60797466,51306.674306,34489.0,55735.22,0.25999999046325,0.6785913918,0.6390907397,0.1050866406,0.2425,0.0633,0.2553,0.0334,0.39299999999999996,0.0213,0.5717,0.607
2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1846,0.0,0.0,0.0,0.1077,0.0,0.0308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2154,0.0,0.0,,,13207.0,0.4,0.2941,,11.0,100.0,64.0,,42.0,144.0,117.0,0.117073170732,0.222222222222,0.205128205128,0.155844155844,0.175438596491,,,,0.0875,0.21,,0.298507462687,0.233333333333,,,0.261904761905,,,0.533333333333,0.531707317073,0.264957264957,17680.0,6900.0,6900.0,54.0,170.0,4292.0,0.0,0.0,4206.0,12.0,14273.0,1.0,5.0,33.672297297,21079.472973,15033.5,53683.7,0.8299999833106899,0.10472972970000001,0.6486486486,0.23648648649999998,0.5014,0.0057,0.7151,0.0171,0.3191,0.0,0.2393,0.6809
3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0436,0.2108,0.0194,0.0,0.059000000000000004,0.0,0.0283,0.0,0.2892,0.0153,0.0,0.017,0.1543,0.0105,0.0,0.0,0.0,0.0,0.0153,0.0,0.0,0.0008,0.0,0.021,0.0,0.0024,0.0307,0.0,0.0202,0.0,0.0,0.0242,0.0,0.0,0.038,0.8087,0.8087,14000.0,0.5187,0.502,271.0,323.0,544.0,512.0,314.0,372.0,1129.0,1207.0,0.44937833037299996,0.47475642161200005,0.473073736537,0.483704974271,0.47784810126599997,0.498220640569,0.553505535055,0.569659442724,0.40363636363600003,0.41544117647100004,0.404296875,0.465201465201,0.46782608695699995,0.48813559321999994,0.509554140127,0.483870967742,0.065719360568,0.057726465363999994,0.177021276596,0.17939609236200002,0.119304059652,23441.0,10714.0,22362.0,213.0,1475.0,9442.0,0.0,0.0,9242.0,12.0,8677.0,0.6544,5.0,22.727919632,61096.588949000005,44787.0,58688.62,0.28999999165534,0.7484303056,0.47634993719999996,0.10046044369999999,0.1443,0.0381,0.0969,0.0528,0.5796,0.0223,0.7167,0.4204
4,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0831,0.1062,0.0892,0.0,0.0585,0.0,0.1169,0.0,0.0,0.0123,0.0,0.0,0.1677,0.0046,0.0938,0.0,0.0,0.0,0.0169,0.0,0.0,0.02,0.0,0.0108,0.0,0.0,0.0231,0.0,0.06,0.0646,0.0,0.0138,0.0,0.0,0.0585,0.9774,0.9774,18950.0,0.3001,0.2901,94.0,130.0,982.0,1082.0,322.0,433.0,1398.0,1645.0,0.210443037975,0.257510729614,0.246200607903,0.315384615385,0.294438386041,0.364285714286,0.43617021276600004,0.29230769230799997,0.188779378317,0.23014256619100001,0.20887245841,0.184466019417,0.18543956043999998,0.22654462242600001,0.288819875776,0.325635103926,0.092827004219,0.034282700422000004,0.33203125,0.320147679325,0.217629179331,21476.0,11068.0,19396.0,244.0,1832.0,7754.0,0.0,0.0,8527.0,12.0,10160.0,0.5826,5.0,20.130990415,31684.382188,22080.5,46065.2,0.10999999940395,0.892571885,0.6134185303999999,0.0079872204,0.0666,0.0041,0.9352,0.0095,0.371,0.0102,0.0167,0.629
5,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0027,0.0332,0.2935,0.0973,0.0,0.0132,0.0,0.0643,0.0,0.11599999999999999,0.0093,0.0683,0.0058,0.1101,0.0124,0.0255,0.0,0.0,0.0,0.0076,0.0,0.0,0.0148,0.0053,0.0,0.0,0.0016,0.0114,0.0,0.0376,0.0092,0.0,0.0364,0.0,0.0,0.0244,0.5906,0.5906,17500.0,0.7188,0.6998,1814.0,1538.0,1377.0,1121.0,1178.0,1042.0,4369.0,3701.0,0.563667232598,0.576562142367,0.568765198595,0.614973262032,0.591021213616,0.648445336008,0.665931642778,0.650845253576,0.4682651622,0.478576615832,0.441570026762,0.528379772962,0.541816009558,0.5376923076919999,0.553480475382,0.584452975048,0.052419354839,0.068123938879,0.112621753247,0.138794567063,0.126182112942,29424.0,10780.0,29230.0,429.0,4026.0,10225.0,0.0,0.0,10770.0,12.0,14198.0,0.7454,5.0,21.137701396,91846.749624,66733.5,57928.41,0.10000000149011001,0.8570354458,0.6152524168,0.0537056928,0.0836,0.0116,0.0999,0.0499,0.4443,0.0183,0.7774,0.5557
7,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.025,0.3452,0.0,0.0,0.0356,0.0,0.3333,0.0,0.0,0.0369,0.0,0.0,0.0132,0.0079,0.0277,0.0,0.0461,0.0,0.0224,0.0,0.0,0.0171,0.0,0.0092,0.0,0.0066,0.0013,0.0,0.0211,0.0,0.0,0.0211,0.0,0.0,0.0303,,,13500.0,,,109.0,117.0,458.0,426.0,287.0,269.0,854.0,812.0,0.5468914646999999,0.5573770491800001,0.550492610837,0.574789915966,0.5696864111500001,0.655462184874,0.605504587156,0.6837606837610001,0.504655493482,0.49781659388599997,0.46713615023500005,0.517374517375,0.504201680672,0.580204778157,0.634146341463,0.624535315985,0.027397260274,0.038988408851,0.20488940628600003,0.222339304531,0.168719211823,,,,156.0,1010.0,8538.0,0.0,0.0,7988.0,31.0,6817.0,0.4601,5.0,30.384765625,38479.38737,29645.5,50752.1,0.61000001430511,0.2786458333,0.705078125,0.361328125,0.5593,0.0073,0.127,0.0311,0.3086,0.0,0.7657,0.6914
8,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.042,0.1477,0.0339,0.0,0.1179,0.0,0.0854,0.0,0.0,0.0136,0.0,0.0041,0.2886,0.0068,0.0366,0.0,0.0027,0.0,0.0041,0.0,0.0,0.0217,0.0217,0.0474,0.0,0.0,0.0176,0.0,0.0379,0.0,0.0,0.0407,0.0,0.0,0.0298,0.9281,0.9281,12500.0,0.33799999999999997,0.3078,208.0,223.0,810.0,604.0,390.0,355.0,1408.0,1182.0,0.259395050412,0.264914772727,0.319796954315,0.276260504202,0.33499377335,0.36082474226800004,0.375,0.461883408072,0.208064516129,0.20864197530900003,0.269867549669,0.24122807017499998,0.287598944591,0.303249097473,0.32307692307700003,0.315492957746,0.066911090742,0.078826764436,0.283404255319,0.254812098992,0.188663282572,18291.0,8404.0,17812.0,222.0,1432.0,7678.0,0.0,0.0,6289.0,12.0,7582.0,0.9655,5.0,22.199804114000003,41987.986288,29671.5,50723.81,0.31999999284744,0.7727717923999999,0.6929480901,0.0729676787,0.2168,0.0221,0.4131,0.0117,0.348,0.0488,0.452,0.652
9,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0414,0.0181,0.0,0.1108,0.2251,0.0566,0.0,0.0098,0.0,0.0602,0.0,0.1911,0.0102,0.0348,0.0062,0.0623,0.0087,0.0,0.0,0.0,0.0,0.0058,0.0,0.0,0.02,0.0202,0.0,0.0,0.0021,0.0092,0.0,0.0279,0.016,0.0,0.0337,0.0,0.0002,0.0296,0.7543,0.7543,16380.0,0.7812,0.7732,1320.0,1229.0,767.0,725.0,760.0,734.0,2847.0,2688.0,0.643990929705,0.6743940990520001,0.382068452381,0.6959731543619999,0.36303871439,0.6975648075409999,0.739393939394,0.42554922701399994,0.5829846582980001,0.620599739244,0.30344827586199996,0.650700073692,0.401819560273,0.606707317073,0.615789473684,0.386920980926,0.028344671202,0.047996976568,0.104221635884,0.095993953137,0.252232142857,31282.0,11276.0,30524.0,368.0,3908.0,10428.0,0.0,0.0,11058.0,13.0,15908.0,0.8553,5.0,20.516795866,92148.626516,72031.0,59005.4,0.07000000029802,0.9141323792,0.531504671,0.0222619758,0.0791,0.0236,0.055,0.0342,0.5115,0.049,0.8078,0.4885
10,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0213,0.1489,0.1986,0.0284,0.0,0.0,0.0,0.0355,0.0,0.0248,0.039,0.0,0.0106,0.0,0.0319,0.0,0.0,0.0,0.0,0.0674,0.0,0.0,0.0142,0.0248,0.0,0.0,0.0213,0.0532,0.0,0.1028,0.0,0.0,0.0674,0.0,0.0,0.1099,0.5666,0.5666,18794.0,0.68,0.6711,104.0,104.0,55.0,68.0,86.0,88.0,245.0,260.0,0.5714285714289999,0.604081632653,0.376923076923,0.6525423728809999,0.48412698412699995,0.628571428571,0.653846153846,0.36538461538500006,0.45098039215700003,0.581818181818,0.367647058824,0.5590551181100001,0.27611940298500004,0.573770491803,0.5581395348839999,0.397727272727,0.06451612903199999,0.10599078341,0.105769230769,0.087557603687,0.184615384615,52176.0,17650.0,17650.0,27.0,271.0,7688.0,0.0,0.0,10356.0,12.0,11383.0,0.6667,5.0,19.64479638,86672.87104099999,68094.5,64789.39,0.01999999955296,0.9683257919,0.520361991,,0.004,0.0253,0.1391,0.0213,0.4791,0.0119,0.7858,0.5209
