,PCIP01,PCIP04,PCIP05,PCIP26,PCIP52,PCIP09,PCIP10,PCIP11,PCIP46,PCIP13,PCIP15,PCIP14,PCIP23,PCIP19,PCIP16,PCIP51,PCIP54,PCIP43,PCIP22,PCIP24,PCIP25,PCIP27,PCIP47,PCIP29,PCIP30,PCIP03,PCIP31,PCIP12,PCIP38,PCIP40,PCIP48,PCIP42,PCIP44,PCIP41,PCIP45,PCIP39,PCIP49,PCIP50,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,MN_EARN_WNE_P10,income
0,0.0394,0.0039,0.0,0.0927,0.1578,0.0,0.0394,0.0592,0.0,0.071,0.0197,0.1183,0.0158,0.0394,0.0,0.0,0.0,0.0572,0.0,0.0473,0.0,0.0059,0.0,0.0,0.0,0.0237,0.002,0.0,0.0,0.0355,0.0,0.0631,0.0493,0.0,0.0355,0.0,0.0,0.0237,28400,29600,30600,33800,35500,157900
1,0.0,0.0,0.0016,0.0876,0.1908,0.0375,0.0,0.0139,0.0,0.0717,0.0,0.0813,0.0207,0.0,0.004,0.2255,0.01,0.0267,0.0,0.0351,0.0,0.0112,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.0235,0.0,0.0602,0.0263,0.0008,0.0315,0.0,0.0,0.0339,39400,40000,44100,44500,48400,216400
2,0.0,0.0,0.0,0.0,0.4615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1846,0.0,0.0,0.0,0.1077,0.0,0.0308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2154,0.0,0.0,35400,38700,40800,42400,47600,204900
3,0.0,0.0,0.0,0.0436,0.2108,0.0194,0.0,0.059000000000000004,0.0,0.0283,0.0,0.2892,0.0153,0.0,0.017,0.1543,0.0105,0.0,0.0,0.0,0.0,0.0153,0.0,0.0,0.0008,0.0,0.021,0.0,0.0024,0.0307,0.0,0.0202,0.0,0.0,0.0242,0.0,0.0,0.038,40300,43400,45900,50200,52000,231800
4,0.0,0.0,0.0,0.0831,0.1062,0.0892,0.0,0.0585,0.0,0.1169,0.0,0.0,0.0123,0.0,0.0,0.1677,0.0046,0.0938,0.0,0.0,0.0,0.0169,0.0,0.0,0.02,0.0,0.0108,0.0,0.0,0.0231,0.0,0.06,0.0646,0.0,0.0138,0.0,0.0,0.0585,24400,25200,27500,29400,30600,137100
5,0.0,0.0,0.0027,0.0332,0.2935,0.0973,0.0,0.0132,0.0,0.0643,0.0,0.11599999999999999,0.0093,0.0683,0.0058,0.1101,0.0124,0.0255,0.0,0.0,0.0,0.0076,0.0,0.0,0.0148,0.0053,0.0,0.0,0.0016,0.0114,0.0,0.0376,0.0092,0.0,0.0364,0.0,0.0,0.0244,42400,41700,45600,47200,51600,228500
7,0.0,0.0,0.0,0.025,0.3452,0.0,0.0,0.0356,0.0,0.3333,0.0,0.0,0.0369,0.0,0.0,0.0132,0.0079,0.0277,0.0,0.0461,0.0,0.0224,0.0,0.0,0.0171,0.0,0.0092,0.0,0.0066,0.0013,0.0,0.0211,0.0,0.0,0.0211,0.0,0.0,0.0303,36200,37500,40000,42100,42400,198200
8,0.0,0.0,0.0,0.042,0.1477,0.0339,0.0,0.1179,0.0,0.0854,0.0,0.0,0.0136,0.0,0.0041,0.2886,0.0068,0.0366,0.0,0.0027,0.0,0.0041,0.0,0.0,0.0217,0.0217,0.0474,0.0,0.0,0.0176,0.0,0.0379,0.0,0.0,0.0407,0.0,0.0,0.0298,32100,34500,37000,35500,38000,177100
9,0.0414,0.0181,0.0,0.1108,0.2251,0.0566,0.0,0.0098,0.0,0.0602,0.0,0.1911,0.0102,0.0348,0.0062,0.0623,0.0087,0.0,0.0,0.0,0.0,0.0058,0.0,0.0,0.02,0.0202,0.0,0.0,0.0021,0.0092,0.0,0.0279,0.016,0.0,0.0337,0.0,0.0002,0.0296,43100,44100,50800,49700,56300,244000
10,0.0,0.0,0.0213,0.1489,0.1986,0.0284,0.0,0.0,0.0,0.0355,0.0,0.0248,0.039,0.0,0.0106,0.0,0.0319,0.0,0.0,0.0,0.0,0.0674,0.0,0.0,0.0142,0.0248,0.0,0.0,0.0213,0.0532,0.0,0.1028,0.0,0.0,0.0674,0.0,0.0,0.1099,36700,35600,43500,44700,53100,213600
12,0.0,0.0,0.0,0.0,0.0928,0.0,0.0,0.0515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7216,0.0,0.0515,0.0619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0206,0.0,0.0,0.0,0.0,0.0,0.0,32500,33600,41000,34900,40200,182200
15,0.0,0.0,0.0,0.0054,0.5761,0.0,0.0,0.0145,0.0,0.0344,0.0,0.0,0.0127,0.0,0.0,0.0091,0.0,0.1739,0.0181,0.0344,0.0,0.0036,0.0,0.0,0.0109,0.0,0.028999999999999998,0.0,0.0,0.0,0.0,0.057999999999999996,0.0,0.0,0.0036,0.0072,0.0,0.0091,33400,38700,37000,42500,40700,192300
22,0.0,0.0,0.0,0.1304,0.4522,0.0261,0.0,0.0,0.0,0.0565,0.0,0.0,0.0174,0.0,0.0,0.0174,0.0174,0.0522,0.0,0.0,0.0,0.0087,0.0,0.0,0.0,0.0,0.1739,0.0,0.0043,0.0087,0.0,0.0174,0.0,0.0,0.013000000000000001,0.0,0.0,0.0043,34600,36400,39900,37700,43600,192200
26,0.0,0.0,0.0,0.0391,0.1587,0.0391,0.0,0.0253,0.0,0.0775,0.0314,0.0,0.0199,0.0345,0.0023,0.2592,0.0207,0.0414,0.0,0.059000000000000004,0.0,0.0192,0.0,0.0,0.0,0.0,0.0054,0.0,0.0,0.0054,0.0,0.0215,0.0637,0.0,0.0368,0.0,0.0,0.0399,31800,32000,34900,35800,38100,172600
29,0.0571,0.0,0.0,0.0429,0.1,0.0,0.0,0.0,0.0,0.0429,0.0,0.0,0.0429,0.0,0.0,0.2429,0.0429,0.0429,0.0,0.0,0.0,0.0143,0.0,0.0,0.0143,0.0,0.0,0.0,0.0429,0.0143,0.0,0.1571,0.0714,0.0,0.0,0.0,0.0,0.0714,26300,25300,25500,32000,29300,138400
31,0.0,0.0,0.0,0.0508,0.17800000000000002,0.0395,0.0,0.0,0.0,0.1328,0.0791,0.0,0.0141,0.0,0.0,0.1525,0.0141,0.0,0.0,0.0,0.0,0.0198,0.0056,0.0,0.1864,0.0,0.0621,0.0,0.0,0.0028,0.0,0.0424,0.0,0.0,0.0198,0.0,0.0,0.0,29700,33300,33400,35700,40400,172500
34,0.0,0.0,0.0,0.1153,0.278,0.0915,0.0,0.0576,0.0,0.0237,0.0,0.0,0.0102,0.0305,0.0,0.0,0.0271,0.1898,0.0,0.0,0.0,0.0102,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.1085,0.0,0.0203,0.0,0.0,0.0339,23100,23100,25600,27600,29500,128900
35,0.0,0.0,0.0,0.037000000000000005,0.1751,0.0202,0.0,0.0034,0.0,0.1077,0.0,0.0,0.0067,0.0168,0.0,0.1178,0.0135,0.0,0.0,0.10099999999999999,0.0,0.0303,0.0,0.0,0.0404,0.0,0.0505,0.0,0.0673,0.0,0.0,0.0808,0.0,0.0,0.0168,0.0707,0.0,0.0438,32700,36300,37300,40100,38700,185100
36,0.0,0.0,0.0,0.0353,0.1235,0.0431,0.0,0.0,0.0,0.1275,0.0,0.0,0.0863,0.0353,0.0078,0.0569,0.0431,0.0,0.0,0.0,0.0,0.0059,0.0,0.0,0.0,0.0059,0.0686,0.0,0.0,0.0196,0.0,0.0608,0.0686,0.0,0.0451,0.0,0.0,0.1667,28000,30700,32300,35600,36100,162700
38,0.0,0.0,0.0,0.0493,0.2118,0.0571,0.0,0.0145,0.0,0.1103,0.0,0.0,0.0213,0.0193,0.0097,0.1209,0.0155,0.028999999999999998,0.0,0.0,0.0,0.0068,0.0,0.0,0.0174,0.0,0.0677,0.0155,0.0,0.0213,0.0,0.0251,0.0522,0.0,0.0696,0.0,0.0,0.0658,32100,33700,36300,37300,42800,182200
40,0.0,0.0,0.0,0.1387,0.1581,0.0323,0.0,0.0097,0.0,0.0355,0.0,0.0,0.0129,0.0065,0.0129,0.1806,0.0032,0.0,0.0,0.1452,0.0,0.0258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0,0.0645,0.0355,0.0,0.0484,0.0581,0.0,0.0258,25800,29400,32400,35900,37400,160900
43,0.0,0.0,0.0012,0.033,0.1758,0.0659,0.0,0.0159,0.0,0.0549,0.0,0.0049,0.0183,0.0598,0.0049,0.3297,0.022000000000000002,0.0012,0.022000000000000002,0.0073,0.0,0.0037,0.0,0.0,0.0049,0.0024,0.0147,0.0,0.011000000000000001,0.0012,0.0,0.0293,0.0183,0.0,0.0317,0.0061,0.0,0.0598,45200,46500,50700,58100,59800,260300
47,0.0,0.0,0.0,0.07,0.1166,0.0352,0.0,0.0447,0.0,0.0985,0.0,0.0972,0.0117,0.0,0.0068,0.2761,0.0059,0.0203,0.0,0.0,0.0,0.009000000000000001,0.0,0.0,0.0619,0.0,0.023,0.0,0.0036,0.0149,0.0,0.0307,0.0167,0.0,0.0303,0.0,0.0,0.0267,35100,37300,42400,43300,46800,204900
48,0.0,0.0,0.0,0.0926,0.2741,0.0593,0.0,0.0,0.0,0.0704,0.0,0.0074,0.0296,0.0,0.0037,0.1148,0.0111,0.0,0.0,0.037000000000000005,0.0,0.0148,0.0,0.0,0.0,0.0,0.0,0.0,0.0111,0.0148,0.0,0.1148,0.0,0.0,0.1074,0.0,0.0,0.037000000000000005,34800,36000,44000,46600,51300,212700
49,0.0,0.0,0.0,0.1944,0.2778,0.0417,0.0,0.0,0.0,0.0417,0.0,0.0,0.0417,0.0,0.0,0.0,0.0833,0.0,0.0,0.1111,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1528,0.0,0.0,0.0,0.0,0.0,0.0417,24900,23800,28700,26700,33700,137800
50,0.0,0.0,0.0,0.0938,0.2891,0.0781,0.0,0.0234,0.0,0.0156,0.0,0.0,0.0156,0.0,0.0,0.0,0.0156,0.1406,0.0,0.0,0.0,0.0156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156,0.0,0.1094,0.0625,0.0,0.0703,0.0,0.0,0.0547,24200,20900,25600,26300,23900,120900
52,0.0,0.0,0.0,0.0318,0.1783,0.0343,0.0,0.0495,0.0,0.0735,0.0041,0.0,0.0124,0.0,0.0078,0.0797,0.006999999999999999,0.0978,0.0,0.0714,0.0,0.0083,0.0,0.0,0.0177,0.0017,0.0504,0.0,0.0,0.0041,0.0,0.1147,0.073,0.0,0.0644,0.0,0.0,0.0182,34300,35900,37500,38800,41100,187600
53,0.1111,0.0142,0.0,0.0567,0.2033,0.0142,0.0,0.0355,0.0,0.0307,0.0,0.2033,0.026000000000000002,0.0236,0.0,0.0709,0.0095,0.0,0.0,0.0,0.0,0.0118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026000000000000002,0.0,0.0922,0.0189,0.0,0.052000000000000005,0.0,0.0,0.0,34500,33900,39000,40100,42200,189700
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35700,0,51100,0,0,86800
56,0.0,0.0,0.0014,0.0218,0.1306,0.0123,0.0,0.0223,0.0,0.0285,0.0627,0.0499,0.0157,0.0043,0.009000000000000001,0.2384,0.0109,0.0233,0.009000000000000001,0.1201,0.0,0.0066,0.0237,0.0,0.0271,0.0076,0.01,0.0081,0.0043,0.0095,0.0119,0.0323,0.018000000000000002,0.0076,0.0313,0.0,0.0252,0.0166,41500,41900,46300,44500,51200,225400
58,0.0,0.0,0.0017,0.0346,0.0951,0.013000000000000001,0.0,0.0138,0.0268,0.0311,0.0449,0.0977,0.013000000000000001,0.0061,0.0156,0.1685,0.0035,0.0804,0.0026,0.0743,0.0,0.0035,0.0424,0.0,0.0475,0.0251,0.0,0.0156,0.0017,0.0259,0.0138,0.0233,0.0337,0.0009,0.0216,0.0,0.0017,0.0207,36500,36800,40400,41600,45100,200400
60,0.0,0.0,0.0,0.0476,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.1667,0.0714,0.1905,0.0,0.0,0.0,0.0,0.2381,0.0,0.0,0.0,0.0,0.0,0.0,37500,39500,41000,48800,45300,212100
72,0.0,0.0156,0.005,0.0747,0.2901,0.0309,0.0,0.049,0.0,0.0414,0.0032,0.1151,0.0165,0.016,0.0088,0.0121,0.0073,0.0,0.0085,0.0,0.0,0.0136,0.0,0.0,0.0633,0.0115,0.0009,0.0,0.0059,0.0122,0.0,0.0446,0.0,0.0,0.0915,0.0,0.0,0.0624,42200,43300,48800,50400,55500,240200
74,0.0179,0.0207,0.0082,0.1007,0.1578,0.051,0.0,0.0435,0.0,0.038,0.0042,0.0792,0.0164,0.0157,0.0189,0.0819,0.0076,0.0232,0.0079,0.0,0.0,0.0129,0.0,0.0,0.0732,0.0133,0.0053,0.0,0.0092,0.0222,0.0,0.065,0.0071,0.0012,0.0683,0.0,0.0,0.0298,41800,43500,48100,49200,56000,238600
75,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,26500,29000,27400,27500,32600,143000
84,0.0,0.0,0.0,0.0,0.1051,0.0,0.0,0.0,0.0,0.0,0.0,0.2944,0.0,0.0,0.0,0.0,0.0,0.0584,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0,0.0,0.0,0.0,0.0491,0.0,0.0047,0.0,0.0,0.1776,0.0,0.3084,0.0,51400,54700,60800,61400,70300,298600
87,0.0,0.0,0.0,0.0247,0.1536,0.0163,0.0,0.003,0.0,0.1178,0.0,0.0,0.0044,0.0,0.0,0.48100000000000004,0.0043,0.0345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0205,0.0,0.0,0.0,0.0,0.0,0.0968,0.0,0.0046,0.0248,0.0,0.0135,36000,50500,48100,51100,58500,244200
93,0.0,0.0,0.0009,0.0622,0.2022,0.0501,0.0,0.0098,0.0,0.0909,0.0,0.0544,0.0183,0.0,0.0086,0.1543,0.0036,0.0033,0.0011,0.0874,0.0,0.0044,0.0,0.0,0.0118,0.0287,0.0321,0.0,0.0017,0.0154,0.0,0.0351,0.02,0.0118,0.0643,0.0,0.0,0.0277,36900,37000,40900,41900,44600,201300
95,0.0,0.0,0.0,0.0,0.2313,0.0448,0.0,0.0075,0.0,0.1791,0.0,0.0,0.0,0.0,0.0,0.2015,0.0149,0.0448,0.0,0.0,0.0,0.0299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1493,0.0896,0.0,0.0,0.0,0.0,0.0075,41600,42000,44900,44300,48100,220900
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1899,0.0,0.0,0.0253,0.0,0.0,0.0,0.0,0.0,0.0,0.0253,0.0,0.0,0.0,0.0,0.0633,0.1772,0.2025,0.0,0.0,0.0,0.0,0.2025,0.0,0.0,0.0633,0.0,0.0,0.0506,28500,29100,30700,34100,34300,156700
107,0.0,0.0,0.0,0.0539,0.3353,0.0599,0.0,0.0,0.0,0.1198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1856,0.0,0.0,0.0898,0.1557,0.0,0.0,32600,29000,31900,28600,34900,157000
111,0.0,0.0,0.0,0.0404,0.1254,0.0428,0.0,0.0334,0.0,0.0176,0.0387,0.0223,0.0287,0.0,0.0223,0.2595,0.0146,0.08199999999999999,0.0,0.092,0.0,0.0088,0.0,0.0,0.0047,0.0,0.0,0.0,0.0035,0.0152,0.0,0.0545,0.0328,0.0,0.0316,0.0,0.0,0.0293,34600,33400,36900,37200,39500,181600
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68000,67400,70700,71100,69000,346200
116,0.0,0.0,0.0,0.2041,0.1701,0.0,0.0,0.0476,0.0,0.0068,0.0,0.0,0.0612,0.0,0.0136,0.0,0.0476,0.0,0.0,0.0,0.0,0.0612,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,0.034,0.0,0.1837,0.0,0.0,0.1156,0.0,0.0,0.0476,31400,36200,40800,40000,44800,193200
119,0.0434,0.0113,0.0007,0.0445,0.2511,0.0672,0.0,0.0133,0.0,0.0295,0.0,0.1206,0.0137,0.0508,0.0107,0.0995,0.013999999999999999,0.017,0.0,0.0,0.0,0.0059,0.0,0.0,0.0039,0.0044,0.0556,0.0,0.0028,0.0242,0.0,0.0321,0.0124,0.0,0.0467,0.0,0.0,0.0247,40900,40800,46900,47200,52700,228500
