,Rank,CONTROL,LOCALE,LOCALE2,MENONLY,WOMENONLY,ADM_RATE,ADM_RATE_ALL,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOLD,UGDS_HISPOLD,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,NPT4_PUB,NPT4_PRIV,NPT4_PROG,NPT4_OTHER,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,C150_4,C150_4_POOLED,PCTFLOAN,UG25ABV,WDRAW_ORIG_YR2_RT,DEP_COMP_ORIG_YR6_RT,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,DEBT_MDN,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,DEP_DEBT_MDN,IND_DEBT_MDN,PELL_DEBT_MDN,NOPELL_DEBT_MDN,FEMALE_DEBT_MDN,MALE_DEBT_MDN,FIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_MDN,DEBT_N,GRAD_DEBT_N,WDRAW_DEBT_N,LO_INC_DEBT_N,MD_INC_DEBT_N,HI_INC_DEBT_N,DEP_DEBT_N,IND_DEBT_N,PELL_DEBT_N,NOPELL_DEBT_N,FEMALE_DEBT_N,MALE_DEBT_N,FIRSTGEN_DEBT_N,NOTFIRSTGEN_DEBT_N,GRAD_DEBT_MDN10YR,CUML_DEBT_N,CUML_DEBT_P90,CUML_DEBT_P75,CUML_DEBT_P25,CUML_DEBT_P10,LOAN_EVER,PELL_EVER,AGE_ENTRY,AGE_ENTRY_SQ,AGEGE24,FEMALE,MARRIED,DEPENDENT,VETERAN,FIRST_GEN,FAMINC,MD_FAMINC,FAMINC_IND,LNFAMINC,LNFAMINC_IND,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_HISPANIC,PCT_BA,PCT_GRAD_PROF,PCT_BORN_US,MEDIAN_HH_INC,POVERTY_RATE,UNEMP_RATE,FSEND_COUNT,MN_EARN_WNE_P10,MD_EARN_WNE_P10,MN_EARN_WNE_INDEP0_P10,MN_EARN_WNE_INDEP1_P10,MN_EARN_WNE_MALE0_P10,MN_EARN_WNE_MALE1_P10,MN_EARN_WNE_P6,MD_EARN_WNE_P6,MN_EARN_WNE_INDEP0_P6,MN_EARN_WNE_INDEP1_P6,MN_EARN_WNE_MALE0_P6,MN_EARN_WNE_MALE1_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MD_EARN_WNE_P8,MN_EARN_WNE_P9,ICLEVEL,SCHTYPE,CIPTFBS1,UNITID_y,OPEID6_y,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate,SAT Lower,SAT Upper,ACT Lower,ACT Upper,10%_cut,5%_cut,20%_cut,50%_cut
0,456,1,12.0,0.0,0.0,0.0,0.9211,0.9211,555.0,555.0,0.0,25.0,27.0,23.0,0.0,1220.0,1220.0,0.0,0.0,0.0,0.0016,0.0375,0.0,0.0139,0.0,0.0717,0.0813,0.0,0.004,0.0,0.0,0.0207,0.0351,0.0,0.0876,0.0112,0.0,0.0,0.0,0.0064,0.0,0.0235,0.0008,0.0602,0.0267,0.0263,0.0315,0.0,0.0,0.0,0.0,0.0339,0.2255,0.1908,0.01,13186.0,0.0,0.5717,0.2553,0.0334,0.0633,0.0034,0.0002,0.0457,0.0213,0.0058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17005.0,0.0,0.0,0.0,24347.0,0.0,8568.0,19704.0,0.0,13177.0,16454.0,10717.0,0.7766,0.5829,0.5567,0.5127,0.2296,0.189010989011,0.515510434292,0.1798024967,0.1423514067,0.114589156,0.1356437488,15000,22500,8750,15563,15000,14000,15000,14827,17231,12500,15000,14500,15000,15000,7366,3755,3611,3082,2255,2029,5003,2363,4550,2816,4758,2608,5244,2122,233.511936049938,6302,37540,26082,6250,3500,0.8574622694,0.6249301286,23.60797466,0.0,0.25999999046325,0.6390907397,0.1050866406,0.6785913918,0.0031675051,0.341223671,51306.674306,34489,30607.18029,0.0,0.0,69.0199966430664,27.7600002288818,1.10000002384185,2.02999997138977,15.9300003051757,8.55000019073486,96.5,55735.22,10.9099998474121,3.45000004768371,0.0,48400,41200,43800,56500,43200,57400,39400,35100,35500,46200,36600,43900,40000,44100,38300,44500,1,1.0,0.0,100663.0,1052.0,13308,20902,17535.0,9254.0,36800,87200.0,92.0,990.0,1370.0,21.0,28.0,7,14,3,1
1,475,1,12.0,0.0,0.0,0.0,0.8087,0.8087,630.0,565.0,0.0,28.0,30.0,27.0,0.0,1314.0,1314.0,0.0,0.0,0.0,0.0,0.0194,0.0,0.059000000000000004,0.0,0.0283,0.2892,0.0,0.017,0.0,0.0,0.0153,0.0,0.0,0.0436,0.0153,0.0,0.0008,0.021,0.0024,0.0,0.0307,0.0,0.0202,0.0,0.0,0.0242,0.0,0.0,0.0,0.0,0.038,0.1543,0.2108,0.0105,7458.0,0.0,0.7167,0.0969,0.0528,0.0381,0.0095,0.0008,0.0296,0.0223,0.0333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20909.0,0.0,0.0,0.0,23441.0,0.0,10714.0,22362.0,0.0,8677.0,9242.0,9442.0,0.6544,0.5187,0.502,0.4192,0.1842,0.177021276596,0.481962481962,0.1377145249,0.1469233989,0.1506906656,0.1900376727,14000,22021,8655,16500,14250,12044,12500,18750,17500,11000,15425,13000,14488,13286,2873,1347,1526,1181,784,908,1916,957,1765,1108,1316,1557,1968,905,228.540726389142,2626,36250,26750,5500,3472,0.8652155714,0.5571368774,22.727919632,0.0,0.28999999165534,0.4763499372,0.1004604437,0.7484303056,0,0.3101321586,61096.588949,44787,27941.821963,0.0,0.0,76.3799972534179,18.9799995422363,1.41999995708465,2.54999995231628,17.6700000762939,8.90999984741211,95.2699966430664,58688.62,9.36999988555908,3.64000010490417,0.0,52000,46700,52000,51900,46000,58700,40300,36200,38000,44400,35600,44900,43400,45900,41800,50200,1,1.0,0.0,100706.0,1055.0,7519,9101,19986.0,9587.0,36881,103900.0,81.0,1080.0,1330.0,25.0,31.0,7,14,3,1
2,252,1,12.0,0.0,0.0,0.0,0.5906,0.5906,590.0,580.0,540.0,27.0,29.0,25.0,8.0,1252.0,1252.0,0.0,0.0053,0.0,0.0027,0.0973,0.0,0.0132,0.0,0.0643,0.11599999999999999,0.0,0.0058,0.0683,0.0,0.0093,0.0,0.0,0.0332,0.0076,0.0,0.0148,0.0,0.0016,0.0,0.0114,0.0,0.0376,0.0255,0.0092,0.0364,0.0,0.0,0.0,0.0,0.0244,0.1101,0.2935,0.0124,32177.0,0.0,0.7774,0.0999,0.0499,0.0116,0.0035,0.001,0.0338,0.0183,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22232.0,0.0,0.0,0.0,29424.0,0.0,10780.0,29230.0,0.0,14198.0,10770.0,10225.0,0.7454,0.7188,0.6998,0.3863,0.0725,0.112621753247,0.596454088383,0.1279269603,0.1374865736,0.1316863588,0.3413533835,17500,23250,9500,18250,17750,16500,17500,18241,20000,14271,17750,16750,18050,16500,11183,6430,4753,2986,2928,5269,9475,1708,5549,5634,6552,4631,6489,4694,241.295667251603,10443,34000,27000,7439,4500,0.9107411386,0.4526315789,21.137701396,0.0,0.10000000149011,0.6152524168,0.0537056928,0.8570354458,0.0039742213,0.2257126887,91846.749624,66733.5,31119.872276,0.0,0.0,75.3499984741211,21.0599994659423,1.20000004768371,2.41000008583068,16.4799995422363,9.21000003814697,96.0800018310547,57928.41,10.0500001907348,3.25999999046325,0.0,51600,44500,52400,47500,45100,59100,42400,37400,42200,43600,36400,49000,41700,45600,40300,47200,1,1.0,0.0,100751.0,1051.0,35625,38563,21973.0,16494.0,46744,97400.0,53.0,1050.0,1280.0,23.0,32.0,3,7,1,0
3,166,1,13.0,0.0,0.0,0.0,0.7543,0.7543,615.0,615.0,570.0,28.0,29.0,26.0,8.0,1289.0,1289.0,0.0414,0.0202,0.0181,0.0,0.0566,0.0,0.0098,0.0,0.0602,0.1911,0.0,0.0062,0.0348,0.0,0.0102,0.0,0.0,0.1108,0.0058,0.0,0.02,0.0,0.0021,0.0,0.0092,0.0,0.0279,0.0,0.016,0.0337,0.0,0.0,0.0,0.0002,0.0296,0.0623,0.2251,0.0087,24147.0,0.0,0.8078,0.055,0.0342,0.0236,0.0038,0.0005,0.0225,0.049,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23696.0,0.0,0.0,0.0,31282.0,0.0,11276.0,30524.0,0.0,15908.0,11058.0,10428.0,0.8553,0.7812,0.7732,0.3169,0.0377,0.104221635884,0.686060132761,0.1208507255,0.129397734,0.1530510833,0.3446630888,16380,21000,8076,17500,17500,15000,15750,18750,18796,14148,17423,15251,16415,16350,6414,4152,2262,1497,1582,3335,5790,624,2935,3479,3254,3160,3220,3194,217.944473646609,5807,33474,26000,7500,4500,0.887696283,0.4362949712,20.516795866,0.0,0.07000000029802,0.531504671,0.0222619758,0.9141323792,0.0023852117,0.1726471191,92148.626516,72031,21278.891204,0.0,0.0,75.9000015258789,19.7999992370605,1.64999997615814,2.89000010490417,17.9300003051757,10.8199996948242,94.9199981689453,59005.4,9.59000015258789,3.14000010490417,0.0,56300,48800,56100,57400,48000,63800,43100,39500,42800,45900,38200,47900,44100,50800,44900,49700,1,1.0,0.0,100858.0,1009.0,23846,29776,23416.0,9030.0,49954,104500.0,84.0,1130.0,1310.0,24.0,30.0,2,4,1,0
4,463,2,12.0,0.0,0.0,0.0,0.5666,0.5666,570.0,560.0,0.0,26.0,27.0,23.0,0.0,1232.0,1232.0,0.0,0.0248,0.0,0.0213,0.0284,0.0,0.0,0.0,0.0355,0.0248,0.0,0.0106,0.0,0.0,0.039,0.0,0.0,0.1489,0.0674,0.0,0.0142,0.0,0.0213,0.0,0.0532,0.0,0.1028,0.0,0.0,0.0674,0.0,0.0,0.0,0.0,0.1099,0.0,0.1986,0.0319,1265.0,0.0,0.7858,0.1391,0.0213,0.0253,0.0032,0.0,0.0119,0.0119,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25494.0,0.0,0.0,52176.0,0.0,17650.0,17650.0,0.0,11383.0,10356.0,7688.0,0.6667,0.68,0.6711,0.4567,0.0133,0.105769230769,0,0.128959276,0.1787330317,0.1787330317,0.278280543,18794,26000,5500,15375,18500,19558,0,0,18794,18750,18500,19125,18945,18500,448,268,180,90,127,231,0,0,192,256,207,241,224,224,269.83601499104,455,32524,27000,7500,4750,0.9298642534,0.4660633484,19.64479638,0.0,0.01999999955296,0.520361991,0,0.9683257919,0,0.1724941725,86672.871041,68094.5,6600.9285714,0.0,0.0,78.9000015258789,17.4099998474121,1.38999998569488,2.46000003814697,20.9099998474121,11.6700000762939,95.6900024414062,64789.39,7.90999984741211,2.83999991416931,0.0,53100,46700,0,0,47600,61100,36700,33400,0,0,34000,38800,35600,43500,38600,44700,1,2.0,0.0,100937.0,1012.0,1283,1325,22853.0,26594.0,52414,88300.0,62.0,1030.0,1260.0,23.0,29.0,7,14,3,1
5,169,2,21.0,0.0,0.0,0.0,0.8208,0.8208,601.0,570.0,555.0,26.0,28.0,24.0,0.0,1228.0,1228.0,0.0,0.0024,0.0,0.0012,0.0659,0.0,0.0159,0.0,0.0549,0.0049,0.0,0.0049,0.0598,0.022000000000000002,0.0183,0.0073,0.0,0.033,0.0037,0.0,0.0049,0.0147,0.011000000000000001,0.0061,0.0012,0.0,0.0293,0.0012,0.0183,0.0317,0.0,0.0,0.0,0.0,0.0598,0.3297,0.1758,0.022000000000000002,3524.0,0.0,0.851,0.0638,0.0329,0.0105,0.0014,0.0003,0.0233,0.0128,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29207.0,0.0,0.0,46474.0,0.0,31650.0,31650.0,0.0,19266.0,15332.0,8888.0,0.9848,0.7636,0.7609,0.3323,0.0415,0.061674008811,0.642857142857,0.0806074766,0.1308411215,0.1448598131,0.4252336449,15500,19304,8250,15750,18747,14549,15750,14270,18906,14197,15292,15625,15250,15750,992,722,270,179,263,550,813,179,314,678,677,315,422,570,200.342862822578,907,34000,26040,7545,4096,0.910046729,0.3130841121,21.151869159,0.0,0.12999999523162,0.6588785047,0.0432242991,0.8714953271,0,0.1380552221,108313.94042,87745,34567.618182,0.0,0.0,80.9100036621093,14.6999998092651,1.69000005722045,3.25,20.5599994659423,10.9399995803833,94.6399993896484,69602.13,7.09999990463257,2.6800000667572,0.0,59800,49900,58400,65600,51400,74100,45200,37500,42800,61100,45300,45100,46500,50700,42000,58100,1,2.0,0.0,102049.0,1036.0,3446,5509,29032.0,14879.0,46474,90500.0,83.0,1080.0,1280.0,23.0,29.0,2,5,1,0
6,612,1,12.0,0.0,0.0,0.0,0.7931,0.7931,580.0,560.0,500.0,24.0,25.0,23.0,7.0,1186.0,1186.0,0.0,0.0,0.0,0.0,0.0352,0.0,0.0447,0.0,0.0985,0.0972,0.0,0.0068,0.0,0.0,0.0117,0.0,0.0,0.07,0.009000000000000001,0.0,0.0619,0.023,0.0036,0.0,0.0149,0.0,0.0307,0.0203,0.0167,0.0303,0.0,0.0,0.0,0.0,0.0267,0.2761,0.1166,0.0059,10035.0,0.0,0.6058,0.2298,0.0367,0.0311,0.0063,0.0016,0.037000000000000005,0.0283,0.0235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14871.0,0.0,0.0,0.0,19835.0,0.0,8396.0,16292.0,0.0,9364.0,9758.0,7239.0,0.6146,0.4417,0.4213,0.5538,0.159,0.231211794319,0.389969293756,0.1612004287,0.1444801715,0.1316184352,0.1374062165,16750,25000,9500,17500,17750,15000,15250,20347,19099,12500,17000,15881,17500,15000,6254,3155,3099,2604,1905,1745,4720,1534,4102,2152,3896,2358,4614,1640,259.457706722154,6151,40000,27250,6125,3500,0.8833869239,0.6372990354,21.947266881,0.0,0.31999999284744,0.6229367631,0.0619506967,0.7993569132,0.0032154341,0.334257975,52728.845016,36199,24156.782051,0.0,0.0,71.4300003051757,24.6800003051757,1.46000003814697,1.70000004768371,13.5699996948242,7.28000020980835,96.5,51919.71,12.5,3.90000009536743,0.0,46800,37800,43200,51900,39300,59000,35100,31500,32900,38700,32500,39000,37300,42400,35800,43300,1,1.0,0.0,102094.0,1057.0,12848,15569,14237.0,6927.0,28210,86400.0,82.0,1010.0,1200.0,20.0,26.0,9,18,4,1
7,607,2,12.0,0.0,0.0,0.0,0.6577,0.6577,550.0,550.0,0.0,23.0,24.0,21.0,0.0,1130.0,1130.0,0.0,0.0,0.0,0.0,0.0593,0.0,0.0,0.0,0.0704,0.0074,0.0,0.0037,0.0,0.0,0.0296,0.037000000000000005,0.0,0.0926,0.0148,0.0,0.0,0.0,0.0111,0.0,0.0148,0.0,0.1148,0.0,0.0,0.1074,0.0,0.0,0.0,0.0,0.037000000000000005,0.1148,0.2741,0.0111,1252.0,0.0,0.6637,0.1558,0.0319,0.0112,0.0056,0.0024,0.0447,0.0471,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19718.0,0.0,0.0,51969.0,0.0,39464.0,39464.0,0.0,12357.0,7604.0,6672.0,0.6667,0.5864,0.5539999999999999,0.7923,0.0145,0.16149068323,0,0.1452599388,0.1697247706,0.1636085627,0.2737003058,19500,27000,16875,17295,19000,21125,19500,10500,20000,19230,20000,18500,16000,22733,685,62,623,200,207,278,648,37,389,296,449,236,456,229,280.214323259926,637,40500,29000,7500,4750,0.9266055046,0.504587156,19.902140673,0.0,0.12999999523162,0.6452599388,0,0.9480122324,0,0.2516339869,79894.033639,61189,18934.235294,0.0,0.0,72.6600036621093,22.5400009155273,1.75999999046325,4.75,17.2600002288818,9.76000022888183,93.8799972534179,59048.32,10.7600002288818,3.56999993324279,0.0,51300,45100,54400,37800,45800,62600,34800,33600,0,0,34000,36500,36000,44000,40600,46600,1,2.0,0.0,102234.0,1041.0,1442,1485,21108.0,29825.0,55168,0.0,46.0,1025.0,1185.0,21.0,26.0,9,18,4,1
8,635,1,11.0,0.0,0.0,0.0,0.8115,0.8115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076,0.0,0.0014,0.0123,0.0,0.0223,0.0081,0.0285,0.0499,0.0627,0.009000000000000001,0.0043,0.009000000000000001,0.0157,0.1201,0.0,0.0218,0.0066,0.0,0.0271,0.01,0.0043,0.0,0.0095,0.0076,0.0323,0.0233,0.018000000000000002,0.0313,0.0,0.0237,0.0119,0.0252,0.0166,0.2384,0.1306,0.0109,10482.0,0.0,0.5375,0.0342,0.0926,0.08199999999999999,0.0574,0.0213,0.1173,0.0219,0.0357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13819.0,0.0,0.0,0.0,19942.0,0.0,8580.0,24762.0,0.0,7253.0,11828.0,9128.0,0.484,0.2965,0.2684,0.2243,0.4178,0.459276916965,0.211538461538,0.190897909,0.1576875769,0.0998769988,0.1065190652,11000,20671,9036,12500,11499,9425,8250,14000,13400,9262,11000,10873,11000,10759,5420,1549,3871,2086,1799,1535,2732,2688,3240,2180,3340,2080,4166,1254,214.530010226146,5479,37491,22322,4750,2556,0.6147601476,0.6826568266,25.107503075,0.0,0.43999999761581,0.5987699877,0.1975399754,0.5035670357,0.0098400984,0.3891938746,46723.651169,33525,30535.316155,0.0,0.0,73.6600036621093,4.17999982833862,4.26000022888183,5.09000015258789,15.9399995803833,8.28999996185302,91.75,72116.59,6.69999980926513,5.21999979019165,0.0,51200,45400,51500,51000,44000,62600,41500,36000,38300,44500,37200,47500,41900,46300,40600,44500,1,1.0,0.0,102553.0,11462.0,15733,23824,13378.0,6207.0,39902,101000.0,83.0,0.0,0.0,0.0,0.0,9,19,4,1
9,574,1,23.0,0.0,0.0,0.0,0.7611,0.7611,585.0,575.0,510.0,22.0,21.0,22.0,7.0,1128.0,1128.0,0.0,0.0251,0.0,0.0017,0.013000000000000001,0.0,0.0138,0.0156,0.0311,0.0977,0.0449,0.0156,0.0061,0.0026,0.013000000000000001,0.0743,0.0,0.0346,0.0035,0.0,0.0475,0.0,0.0017,0.0,0.0259,0.0009,0.0233,0.0804,0.0337,0.0216,0.0268,0.0424,0.0138,0.0017,0.0207,0.1685,0.0951,0.0035,4657.0,0.0,0.5321,0.0326,0.0782,0.0195,0.1376,0.0082,0.0913,0.0114,0.0891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11297.0,0.0,0.0,0.0,18510.0,0.0,6657.0,20218.0,0.0,8210.0,17922.0,9584.0,0.6066,0.3154,0.3082,0.2277,0.452,0.399293286219,0.257328990228,0.1909039865,0.1633913532,0.1089275688,0.120157215,11000,19407,9486,12500,11050,9500,10000,12500,13750,8790,11000,11000,11000,11251,2609,801,1808,1046,826,737,1323,1286,1661,948,1511,1098,2000,609,201.411828574274,2594,36934,21901,4678,2500,0.643458731,0.664795059,25.450308815,0.0,0.36000001430511,0.5940482875,0.2504211117,0.4693992139,0.0145985401,0.3988326848,48958.06457,35967,31125.387302,0.0,0.0,69.3499984741211,4.67999982833862,2.49000000953674,4.67999982833862,14.9799995422363,8.89000034332275,93.3899993896484,65084.81,8.44999980926513,6.55999994277954,0.0,45100,38700,44700,45400,35700,57800,36500,30700,37100,35700,29800,44200,36800,40400,34300,41600,1,1.0,0.0,102614.0,1063.0,7664,11866,9988.0,7457.0,32563,101800.0,77.0,1030.0,1270.0,17.0,25.0,8,17,4,1
