,calculation_rank,Rank,INSTNM,10%_cut,20%_cut,50%_cut,Net Price,GRAD_DEBT_MDN,GRAD_DEBT_MDN10YR,MN_EARN_WNE_P6,OVERALL_YR6_N,UGDS,debt,earning_average,net_tuition,calculation,calculation_ng
0,0,70,University of Florida-Online,0,0,0,12345.0,16247.0,168.616374444593,47700.0,5183.0,2912.0,16247,47700,12345.0,0.16282939354390608,-0.11506520052204396
1,1,330,St. Joseph's College-New York,5,2,1,16973.0,19500.0,202.37701124328,41600.0,1201.0,937.0,19500,41600,16973.0,0.09465114489727353,-0.20506048873559896
2,2,464,Berea College,7,3,1,1298.0,5600.0,58.1185263057625,27100.0,476.0,1630.0,5600,27100,1298.0,0.08540462992000489,0.016366013334897248
3,3,2,Stanford University,0,0,0,13261.0,11341.0,117.700394077438,92800.0,579.0,7083.0,11341,92800,13261.0,0.08430462780225624,0.08430625101155768
4,4,66,United States Merchant Marine Academy,0,0,0,6758.0,12000.0,124.539699226634,78600.0,76.0,996.0,12000,78600,6758.0,0.076072148076368,0.07523451256923946
5,5,5,Princeton University,0,0,0,9327.0,9850.0,102.226336448528,73600.0,273.0,5301.0,9850,73600,9327.0,0.06240059279867728,0.06537387587286181
6,6,4,Massachusetts Institute of Technology,0,0,0,20771.0,12500.0,129.728853361077,99600.0,503.0,4550.0,12500,99600,20771.0,0.058638867530528535,0.04092198645897896
7,7,1,Harvard University,0,0,0,14327.0,13875.0,143.999027230795,91300.0,614.0,7582.0,13875,91300,14327.0,0.05263918471251176,0.042759904247843414
8,8,174,CUNY Bernard M Baruch College,2,1,0,2695.0,11500.0,119.350545092191,47500.0,2678.0,14629.0,11500,47500,2695.0,0.050608807181676915,0.006393481245757886
9,9,490,CUNY John Jay College of Criminal Justice,7,3,1,3843.0,10500.0,108.972236823304,33800.0,2750.0,12852.0,10500,33800,3843.0,0.02656118407448821,-0.03555081498619471
10,10,182,Northeastern University Lifelong Learning Network,2,1,0,29748.0,25000.0,259.457706722154,57800.0,2719.0,1984.0,25000,57800,29748.0,0.01966292186865376,-0.30404494313337704
11,11,403,Linfield College-Online and Continuing Education,6,3,1,27254.0,25000.0,259.457706722154,52100.0,771.0,244.0,25000,52100,27254.0,0.018588989497689307,-0.3054625338630501
12,12,411,CUNY City College,6,3,1,2540.0,12500.0,129.728853361077,36800.0,2416.0,12503.0,12500,36800,2540.0,0.01841404368168008,-0.03946055823716703
13,13,362,CUNY Brooklyn College,5,2,1,4211.0,11819.0,122.661225429965,36900.0,2760.0,13954.0,11819,36900,4211.0,0.016865100434339954,-0.043009674134425316
14,14,301,CUNY Hunter College,4,2,0,3170.0,12500.0,129.728853361077,39300.0,2758.0,16205.0,12500,39300,3170.0,0.015586520731413513,-0.03558993950278472
15,15,274,CUNY Queens College,4,2,0,3318.0,12000.0,124.539699226634,37200.0,2557.0,15645.0,12000,37200,3318.0,0.012192702609687203,-0.037840436006794875
16,16,571,The University of Texas Rio Grande Valley,8,4,1,3901.0,11661.0,121.021452723481,34200.0,4074.0,24596.0,11661,34200,3901.0,0.0050689147194203435,-0.04796913990489108
17,17,646,New Mexico State University-Main Campus,9,4,1,8625.0,18370.0,190.649522899439,29700.0,6066.0,11139.0,18370,29700,8625.0,0.005054175466115168,-0.17303761846821838
18,18,499,California State University-Los Angeles,7,3,1,3792.0,13381.0,138.872142945965,37200.0,4326.0,24163.0,13381,37200,3792.0,0.0015577202414169683,-0.05702504919359215
19,19,434,California State University-Stanislaus,6,3,1,6295.0,14248.0,147.87013621509,39300.0,1957.0,9272.0,14248,39300,6295.0,-0.005989797314542286,-0.07755817179945815
20,20,474,California State University-Northridge,7,3,1,5703.0,14488.0,150.360930199622,37400.0,7375.0,34911.0,14488,37400,5703.0,-0.009659916727907905,-0.08246407452700155
21,21,95,Brigham Young University-Provo,1,0,0,12974.0,12100.0,125.577530053522,46600.0,5377.0,31441.0,12100,46600,12974.0,-0.014423476983634567,-0.07547517167367578
22,22,21,Rice University,0,0,0,20237.0,11989.0,124.425537835676,68300.0,405.0,3962.0,11989,68300,20237.0,-0.01472685394338678,-0.05317241035519485
23,23,576,Montana Technological University,8,4,1,12993.0,20000.0,207.566165377723,48100.0,677.0,1585.0,20000,48100,12993.0,-0.01548462676381275,-0.16139238871624545
24,24,551,College of Staten Island CUNY,8,4,1,5687.0,15000.0,155.674624033292,33900.0,2680.0,11815.0,15000,33900,5687.0,-0.018921345943661516,-0.09983017579925149
25,25,417,California State University-Fresno,6,3,1,5872.0,15000.0,155.674624033292,37200.0,4068.0,21732.0,15000,37200,5872.0,-0.021530058831176722,-0.09019217903760605
26,26,8,California Institute of Technology,0,0,0,24245.0,8700.0,90.2912819393097,68500.0,41.0,948.0,8700,68500,24245.0,-0.021610651015280737,-0.04279821123890473
27,27,394,Elizabethtown College School of Continuing and Professional Studies,6,3,1,28222.0,27000.0,280.214323259926,44800.0,521.0,246.0,27000,44800,28222.0,-0.02227639755547889,-0.35940484477323215
28,28,64,University of Washington-Seattle Campus,0,0,0,12899.0,15000.0,155.674624033292,50300.0,6187.0,30905.0,15000,50300,12899.0,-0.0226829818747045,-0.09600560337763535
29,29,12,Pomona College,0,0,0,15840.0,10040.0,104.198215019617,51200.0,124.0,1549.0,10040,51200,15840.0,-0.02289820291007058,-0.05664267109500523
30,30,9,Duke University,0,0,0,35737.0,11500.0,119.350545092191,93200.0,850.0,6596.0,11500,93200,35737.0,-0.023553731446214338,-0.07361669870487922
31,31,3,Yale University,0,0,0,18627.0,13000.0,134.91800749552,67800.0,384.0,5963.0,13000,67800,18627.0,-0.025693773993928724,-0.05516682980212176
32,32,13,University of California-Berkeley,0,0,0,15859.0,13750.0,142.701738697184,57600.0,3950.0,30845.0,13750,57600,15859.0,-0.027220582049734807,-0.07819085383004613
33,33,272,California State University-Long Beach,4,2,0,9423.0,15000.0,155.674624033292,40000.0,6604.0,31503.0,15000,40000,9423.0,-0.027733383428950834,-0.1057862396335001
34,34,117,Pennsylvania State University-World Campus,1,0,0,30373.0,26000.0,269.83601499104,43600.0,16141.0,8102.0,26000,43600,30373.0,-0.02799884884621484,-0.36695848047700363
35,35,413,Brigham Young University-Idaho,6,3,1,7977.0,12601.0,130.777062496234,35600.0,5165.0,37636.0,12601,35600,7977.0,-0.028325509718106802,-0.08267742923134447
