,calculation_rank,Rank,INSTNM,10%_cut,20%_cut,50%_cut,Net Price,GRAD_DEBT_MDN,GRAD_DEBT_MDN10YR,MN_EARN_WNE_P6,OVERALL_YR6_N,UGDS,debt,earning_average,net_tuition,calculation,calculation_ng
7,7,1,Harvard University,0,0,0,14327.0,13875.0,143.999027230795,91300.0,614.0,7582.0,13875,91300,14327.0,0.05263918471251176,0.042759904247843414
3,3,2,Stanford University,0,0,0,13261.0,11341.0,117.700394077438,92800.0,579.0,7083.0,11341,92800,13261.0,0.08430462780225624,0.08430625101155768
31,31,3,Yale University,0,0,0,18627.0,13000.0,134.91800749552,67800.0,384.0,5963.0,13000,67800,18627.0,-0.025693773993928724,-0.05516682980212176
6,6,4,Massachusetts Institute of Technology,0,0,0,20771.0,12500.0,129.728853361077,99600.0,503.0,4550.0,12500,99600,20771.0,0.058638867530528535,0.04092198645897896
5,5,5,Princeton University,0,0,0,9327.0,9850.0,102.226336448528,73600.0,273.0,5301.0,9850,73600,9327.0,0.06240059279867728,0.06537387587286181
46,46,6,University of Pennsylvania,0,0,0,24242.0,19500.0,202.37701124328,91200.0,1213.0,10764.0,19500,91200,24242.0,-0.0412479510372305,-0.09163514375264487
167,167,7,Brown University,0,0,0,30205.0,15500.0,160.863778167735,64800.0,668.0,6752.0,15500,64800,30205.0,-0.10778053740244556,-0.17491841363663096
26,26,8,California Institute of Technology,0,0,0,24245.0,8700.0,90.2912819393097,68500.0,41.0,948.0,8700,68500,24245.0,-0.021610651015280737,-0.04279821123890473
30,30,9,Duke University,0,0,0,35737.0,11500.0,119.350545092191,93200.0,850.0,6596.0,11500,93200,35737.0,-0.023553731446214338,-0.07361669870487922
71,71,10,Dartmouth College,0,0,0,30421.0,12500.0,129.728853361077,74600.0,390.0,4312.0,12500,74600,30421.0,-0.06034159472210711,-0.1094978438086916
78,78,11,Cornell University,0,0,0,31230.0,14000.0,145.296315764406,76300.0,1899.0,15105.0,14000,76300,31230.0,-0.06460282645510437,-0.1267633178124955
29,29,12,Pomona College,0,0,0,15840.0,10040.0,104.198215019617,51200.0,124.0,1549.0,10040,51200,15840.0,-0.02289820291007058,-0.05664267109500523
32,32,13,University of California-Berkeley,0,0,0,15859.0,13750.0,142.701738697184,57600.0,3950.0,30845.0,13750,57600,15859.0,-0.027220582049734807,-0.07819085383004613
106,106,14,Columbia University in the City of New York,0,0,0,24231.0,21979.0,228.104837441849,77900.0,1213.0,8216.0,21979,77900,24231.0,-0.08741057437112049,-0.16410274687484502
64,64,15,Georgetown University,0,0,0,30107.0,15397.0,159.79481241604,81100.0,914.0,7089.0,15397,81100,30107.0,-0.057950864324823895,-0.11904274988041377
90,90,16,University of Chicago,0,0,0,25455.0,17000.0,176.431240571064,72100.0,651.0,6600.0,17000,72100,25455.0,-0.07738218902893149,-0.13469448951818955
44,44,17,Northwestern University,0,0,0,24047.0,15000.0,155.674624033292,71900.0,1271.0,8451.0,15000,71900,24047.0,-0.04006743000754279,-0.10251982053150424
171,171,18,University of Notre Dame,0,0,0,28768.0,19000.0,197.187857108837,69700.0,1147.0,8568.0,19000,69700,28768.0,-0.10958261114192944,-0.1888262175756942
86,86,19,Williams College,0,0,0,22667.0,12702.0,131.825271631392,51400.0,230.0,2028.0,12702,51400,22667.0,-0.073447639692333,-0.13437691989683817
56,56,20,University of Michigan-Ann Arbor,0,0,0,14860.0,16606.0,172.342187113123,55900.0,3647.0,30079.0,16606,55900,14860.0,-0.05274550260719945,-0.10963569946663711
22,22,21,Rice University,0,0,0,20237.0,11989.0,124.425537835676,68300.0,405.0,3962.0,11989,68300,20237.0,-0.01472685394338678,-0.05317241035519485
131,131,22,Johns Hopkins University,0,0,0,33586.0,15500.0,160.863778167735,68000.0,982.0,5567.0,15500,68000,33586.0,-0.09832243115618,-0.18799649470187166
253,253,23,Harvey Mudd College,0,0,0,34464.0,22960.0,238.285957853626,87200.0,104.0,886.0,22960,87200,34464.0,-0.134465920457381,-0.21623090665159847
301,301,25,Swarthmore College,0,0,0,20511.0,20000.0,207.566165377723,44500.0,156.0,1544.0,20000,44500,20511.0,-0.1459349459168011,-0.22597609752209455
104,104,26,Bowdoin College,0,0,0,22810.0,15850.0,164.496186061845,57100.0,211.0,1825.0,15850,57100,22810.0,-0.08674490738843284,-0.1526567024102656
70,70,27,Vanderbilt University,0,0,0,19959.0,15000.0,155.674624033292,61900.0,594.0,6840.0,15000,61900,19959.0,-0.059365260737810344,-0.10702003891075176
50,50,28,Amherst College,0,0,0,22463.0,12896.0,133.838663435556,61600.0,230.0,1855.0,12896,61600,22463.0,-0.04580691376937539,-0.10138156822409303
88,88,29,Claremont McKenna College,0,0,0,26933.0,14250.0,147.890892831628,68200.0,107.0,1318.0,14250,68200,26933.0,-0.07544385788122374,-0.12637648420898162
293,293,30,University of Southern California,0,0,0,30232.0,19500.0,202.37701124328,61400.0,2489.0,19548.0,19500,61400,30232.0,-0.14417111761550225,-0.23232398452195346
178,178,31,Washington University in St Louis,0,0,0,28540.0,16075.0,166.831305422345,63400.0,592.0,7356.0,16075,63400,28540.0,-0.11207797462892374,-0.17450083841882538
120,120,33,University of Virginia-Main Campus,0,0,0,20547.0,17756.0,184.277241622342,56800.0,1693.0,16405.0,17756,56800,20547.0,-0.09518213001776198,-0.1596964920867192
286,286,34,Tufts University,0,0,0,32620.0,16500.0,171.242086436621,56600.0,708.0,5597.0,16500,56600,32620.0,-0.14298923027515875,-0.23048957527998643
560,560,35,New York University,0,0,0,40336.0,21250.0,220.539050713831,55900.0,3973.0,26339.0,21250,55900,40336.0,-0.22094046600471878,-0.34141893135691337
202,202,36,Middlebury College,0,0,0,26075.0,13750.0,142.701738697184,47900.0,201.0,2550.0,13750,47900,26075.0,-0.11808364146477981,-0.18188217143939173
232,232,37,Carnegie Mellon University,0,0,0,31102.0,23250.0,241.295667251603,84000.0,778.0,6483.0,23250,84000,31102.0,-0.12652677425442266,-0.20661737811023864
43,43,38,University of California-Los Angeles,0,0,0,14309.0,15000.0,155.674624033292,52000.0,4641.0,31568.0,15000,52000,14309.0,-0.03919199298861164,-0.10024869937142455
145,145,39,Bates College,0,0,0,25192.0,12725.0,132.063972721576,46000.0,190.0,1832.0,12725,46000,25192.0,-0.1030249174489777,-0.1702177818623449
361,361,40,Wesleyan University,0,0,0,29956.0,17231.0,178.828629781177,46400.0,346.0,2922.0,17231,46400,29956.0,-0.16283921951556707,-0.25402374511989145
251,251,41,Boston College,0,0,0,34550.0,16939.0,175.798163766662,64900.0,1307.0,9639.0,16939,64900,34550.0,-0.133942499818972,-0.22155044274268013
236,236,42,Washington and Lee University,0,0,0,24761.0,19500.0,202.37701124328,58900.0,178.0,1822.0,19500,58900,24761.0,-0.1288249920116436,-0.20228828693067144
61,61,44,Wellesley College,0,0,0,23188.0,10600.0,110.010067650193,48600.0,341.0,2392.0,10600,48600,23188.0,-0.05766009893116429,-0.12315564497040775
60,60,45,University of North Carolina at Chapel Hill,0,0,0,14163.0,16118.0,167.277572677907,49900.0,2507.0,18946.0,16118,49900,14163.0,-0.057091385004420826,-0.11902736524795518
159,159,46,Colgate University,0,0,0,23310.0,16125.0,167.350220835789,54300.0,258.0,2934.0,16125,54300,23310.0,-0.10573981815309683,-0.16859496487006329
203,203,47,William & Mary,0,0,0,19720.0,18325.0,190.182499027339,47400.0,686.0,6349.0,18325,47400,19720.0,-0.1181282945363591,-0.1915853576082807
221,221,48,Davidson College,0,0,0,21206.0,18519.0,192.195890831503,49400.0,187.0,1839.0,18519,49400,21206.0,-0.12427207833627009,-0.1975954239911522
260,260,49,Haverford College,0,0,0,26607.0,15000.0,155.674624033292,44100.0,128.0,1305.0,15000,44100,26607.0,-0.13650807042691007,-0.2125584690554753
222,222,50,Barnard College,0,0,0,25007.0,17500.0,181.620394705508,52800.0,286.0,2557.0,17500,52800,25007.0,-0.12449694583506912,-0.20124641042642108
257,257,52,Carleton College,0,0,0,27898.0,13834.0,143.573516591771,43400.0,200.0,2046.0,13834,43400,27898.0,-0.13505075680729375,-0.2105250635017568
334,334,54,Pitzer College,0,0,0,28423.0,14625.0,151.78275843246,37300.0,126.0,1072.0,14625,37300,28423.0,-0.15508528651340897,-0.24349989163053565
113,113,55,Emory University,0,0,0,26760.0,18000.0,186.809548839951,65500.0,1165.0,6975.0,18000,65500,26760.0,-0.09247858916946501,-0.1771900172735863
