,VARIABLE NAME,importance,NAME OF DATA ELEMENT,developer-friendly-name
0,CIP05BACHL,0.064272600336901,"2    Bachelor's degree in Area, Ethnic, Cultural, G...
Name: NAME OF DATA ELEMENT, dtype: object",program.bachelors.ethnic_cultural_gender
1,CIP52BACHL,0.060971452121785695,"4    Bachelor's degree in Business, Management, Mar...
Name: NAME OF DATA ELEMENT, dtype: object",program.bachelors.business_marketing
2,CIP01BACHL,0.060533870932852986,"0    Bachelor's degree in Agriculture, Agriculture ...
Name: NAME OF DATA ELEMENT, dtype: object",program.bachelors.agriculture
3,CIP26BACHL,0.05996107619910944,"3    Bachelor's degree in Biological And Biomedical...
Name: NAME OF DATA ELEMENT, dtype: object",program.bachelors.biological
4,CIP04BACHL,0.050906907666868076,"1    Bachelor's degree in Architecture And Related ...
Name: NAME OF DATA ELEMENT, dtype: object",program.bachelors.architecture
5,CIP09BACHL,0.04640350680520118,"5    Bachelor's degree in Communication, Journalism...
Name: NAME OF DATA ELEMENT, dtype: object",program.bachelors.communication
6,CIP13BACHL,0.041514703814745396,"9    Bachelor's degree in Education.
Name: NAME OF DATA ELEMENT, dtype: object",program.bachelors.education
7,CIP11BACHL,0.03580626756304259,"7    Bachelor's degree in Computer And Information ...
Name: NAME OF DATA ELEMENT, dtype: object",program.bachelors.computer
8,CIP46BACHL,0.03573778732942998,"8    Bachelor's degree in Construction Trades.
Name: NAME OF DATA ELEMENT, dtype: object",program.bachelors.construction
9,CIP15BACHL,0.031219632093095452,"10    Bachelor's degree in Engineering Technologies ...
Name: NAME OF DATA ELEMENT, dtype: object",program.bachelors.engineering_technology
10,CIP14BACHL,0.030779745362469694,"11    Bachelor's degree in Engineering.
Name: NAME OF DATA ELEMENT, dtype: object",program.bachelors.engineering
11,CIP10BACHL,0.028372234758276316,"6    Bachelor's degree in Communications Technologi...
Name: NAME OF DATA ELEMENT, dtype: object",program.bachelors.communications_technology
12,CIP16BACHL,0.0202128605218061,"14    Bachelor's degree in Foreign Languages, Litera...
Name: NAME OF DATA ELEMENT, dtype: object",program.bachelors.language
13,CIP51BACHL,0.019569298753473446,"15    Bachelor's degree in Health Professions And Re...
Name: NAME OF DATA ELEMENT, dtype: object",program.bachelors.health
14,CIP19BACHL,0.016311347433660996,"13    Bachelor's degree in Family And Consumer Scien...
Name: NAME OF DATA ELEMENT, dtype: object",program.bachelors.family_consumer_science
15,CIP42BACHL,0.015339700511492924,"31    Bachelor's degree in Psychology.
Name: NAME OF DATA ELEMENT, dtype: object",program.bachelors.psychology
16,CIP25BACHL,0.013983133369504932,"20    Bachelor's degree in Library Science.
Name: NAME OF DATA ELEMENT, dtype: object",program.bachelors.library
17,CIP43BACHL,0.013252294630575876,"17    Bachelor's degree in Homeland Security, Law En...
Name: NAME OF DATA ELEMENT, dtype: object",program.bachelors.security_law_enforcement
18,CIP54BACHL,0.01249740000343757,"16    Bachelor's degree in History.
Name: NAME OF DATA ELEMENT, dtype: object",program.bachelors.history
19,CIP29BACHL,0.012476642394487363,"23    Bachelor's degree in Military Technologies And...
Name: NAME OF DATA ELEMENT, dtype: object",program.bachelors.military
